indice_tiempo,emae_desestacionalizada,emae_tendencia_ciclo,emae_original
2004-01-01,98.2265776459907,95.99374538014057,92.62750602691051
2004-02-01,98.29758148523086,96.60164355098098,90.1861793165596
2004-03-01,97.57377181751845,97.27873113553377,101.88329804238072
2004-04-01,95.38352398577341,97.98311078706988,102.5674302511826
2004-05-01,96.81911916443636,98.71549159413664,109.87750394051662
2004-06-01,98.51703519722771,99.47268844671929,105.66240620209852
2004-07-01,100.83956706344236,100.25685222212765,101.10699729002121
2004-08-01,102.1085203640761,101.06859680638478,98.35573694243756
2004-09-01,102.4254667473565,101.90048489456188,98.08637453469638
2004-10-01,103.17744524736416,102.74529613161751,97.8356659809799
2004-11-01,103.13315040662916,103.5840873836164,100.13194668122141
2004-12-01,103.49824087495419,104.39927166711081,101.67895479099535
2005-01-01,105.74248092228531,105.17658679738409,98.473359529179
2005-02-01,106.05499337976501,105.90603069202444,96.11886613343405
2005-03-01,106.94765710491473,106.58607929770359,110.65642586719524
2005-04-01,107.9214877677537,107.22253184907947,116.54519048214908
2005-05-01,109.00479253612914,107.82602027054895,126.66194335502728
2005-06-01,108.55904064064569,108.41144450067604,116.50222321492876
2005-07-01,109.31961679823948,108.9951391768205,107.58113926245956
2005-08-01,109.37787830413929,109.59010047139458,105.82089279310112
2005-09-01,109.07399808964328,110.20797378029373,104.89213472672316
2005-10-01,109.9267941326058,110.85668658356863,104.4606653849844
2005-11-01,111.024144426747,111.54134443496395,108.00375438454834
2005-12-01,113.2670351239222,112.26204132331458,110.50332389924424
2006-01-01,113.51360820420379,113.0126053918807,106.53094787692403
2006-02-01,114.775434436667,113.78503907593516,104.0901370432872
2006-03-01,114.64290264964993,114.57169022763608,118.58827645043104
2006-04-01,115.78989195722427,115.36700866534453,122.08710730131628
2006-05-01,115.2324735081155,116.1717320746463,133.3710156747742
2006-06-01,116.0533541912532,116.98632097061916,124.29274775102324
2006-07-01,118.32382688814312,117.81175097219472,117.0456318535268
2006-08-01,118.79132387014255,118.65165543834,116.30360797574892
2006-09-01,119.67495065527805,119.51045476466022,114.80248033323907
2006-10-01,120.30497608993923,120.38859492387472,116.47750825324565
2006-11-01,120.39868583761805,121.28703778804147,118.14078229406631
2006-12-01,123.83198680967509,122.20287678652186,119.60317208093002
2007-01-01,121.94586816179209,123.13076500252664,114.70176482722368
2007-02-01,124.57924588820171,124.06487316942804,112.743248286053
2007-03-01,126.50746518524687,125.00138137177169,129.28276498944658
2007-04-01,125.74976809138721,125.93521246045412,133.46308313008805
2007-05-01,127.22359297152956,126.86262951935038,147.60791074167543
2007-06-01,128.17926308903222,127.78289667338642,136.12098630494512
2007-07-01,127.58195690653541,128.6936771577756,127.3875518979554
2007-08-01,128.91406626534234,129.59223354488216,126.59522767863001
2007-09-01,129.71678961370213,130.47529745975876,123.51046329444522
2007-10-01,131.20871084583604,131.3329886564874,128.4153826610447
2007-11-01,132.2881415634474,132.14851458772836,129.73508945617354
2007-12-01,134.56653328885616,132.89490864604065,128.89792837498598
2008-01-01,134.48869522483955,133.54186929493332,126.22689251081431
2008-02-01,133.5306710094409,134.05519277126356,122.82490450916451
2008-03-01,133.63871436268113,134.3991662746655,132.33412728743556
2008-04-01,136.01053277126059,134.54072102585965,145.28049855207212
2008-05-01,134.91448440034821,134.4500721826632,154.15616391286648
2008-06-01,133.25772532485644,134.1061503600773,140.50348421669764
2008-07-01,135.5849550581912,133.50626853752078,136.63868805371584
2008-08-01,135.71265430433982,132.66509799489785,131.34092143552698
2008-09-01,135.8507709302341,131.61846325886793,132.18593848988462
2008-10-01,132.26600866221446,130.4218716135067,130.39517884255912
2008-11-01,129.75033573432654,129.14596295324952,125.52756329262155
2008-12-01,125.87481935220042,127.86809009039577,123.46600579407664
2009-01-01,123.79660191973272,126.67271195024573,116.7584192020652
2009-02-01,126.13705476051132,125.64137428905336,114.85886148592793
2009-03-01,123.81063090259569,124.84571541366468,126.16560261026108
2009-04-01,121.94047677586785,124.33976641682308,127.99055887450349
2009-05-01,121.34944742898216,124.15382036212662,133.03567047814315
2009-06-01,122.3461145378214,124.2945170360289,129.31265804805898
2009-07-01,125.05487554036974,124.74663195026292,127.36305837501409
2009-08-01,126.6757955409239,125.4767088160602,124.00328620894652
2009-09-01,128.04845904581762,126.43962407051676,126.18512812472765
2009-10-01,128.79903657217181,127.58246024714519,127.07986188269524
2009-11-01,129.55143469614825,128.84997923419354,127.09219178029132
2009-12-01,128.6219333786936,130.1905666883685,126.28656380555832
2010-01-01,131.2614604700353,131.55971162989232,121.50567852923164
2010-02-01,133.09871956521758,132.9176970360835,119.82280209203972
2010-03-01,134.39275689234412,134.23404314633973,136.8955016204612
2010-04-01,136.80934121103294,135.48530922896737,145.77413149301782
2010-05-01,139.47684726372808,136.65682399840648,158.1106315304388
2010-06-01,140.42477346827357,137.74213633410142,149.86155200805442
2010-07-01,139.25601295539477,138.742033987896,139.50568662872732
2010-08-01,139.88422985228343,139.6643036120825,137.24598068715568
2010-09-01,139.549172325767,140.52399425388978,136.69642672162286
2010-10-01,140.05057538036087,141.33273709591603,135.13884450692316
2010-11-01,142.11049052285196,142.09882979020054,139.59882328372223
2010-12-01,142.31932895287753,142.83048469006675,138.47764951271685
2011-01-01,145.32265006494768,143.5352669066956,133.0769197185519
2011-02-01,144.16246123006408,144.21262805366734,129.50988684262188
2011-03-01,145.17564667346218,144.85313266949342,147.00183909502374
2011-04-01,144.74744386086334,145.43861705212117,151.03582303961804
2011-05-01,147.18727918584128,145.94512306177867,166.17834208101743
2011-06-01,146.78321113201108,146.3477705200537,156.6936585122553
2011-07-01,147.00162241732087,146.62355207391084,146.37808828046838
2011-08-01,146.78133853597367,146.75403149988148,146.39850538471867
2011-09-01,148.4153226925066,146.73330636386473,147.170906821271
2011-10-01,147.43758216395736,146.56911607502013,145.0500024277993
2011-11-01,147.36203670959767,146.28383519711775,146.3616451241655
2011-12-01,147.84068077552303,145.91042873752673,143.36165785374328
2012-01-01,147.26097465407517,145.49223212440126,136.19408129361287
2012-02-01,145.28966771436603,145.07840995089862,132.36052594074118
2012-03-01,145.29308009626854,144.71743806006972,147.4410162449576
2012-04-01,141.6047918916831,144.4516211941787,145.52027831854522
2012-05-01,140.3555531903643,144.31608191193638,157.4041837193603
2012-06-01,140.6382703236242,144.3332464027791,149.03310174150508
2012-07-01,144.78901958269185,144.5078415456242,146.86279961903688
2012-08-01,144.94222987625338,144.82753017754197,145.6932569888101
2012-09-01,146.34295091825894,145.26456780233931,142.47153651731423
