Apertura,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
Nivel general,100.0,101.6,103.7,106.1,109.0,110.5,111.8,113.8,115.4,117.6,119.4,121.0,124.8,127.0,130.1,133.1,136.8,139.6,144.8,149.3,155.1,165.2,174.1,179.6,184.3,189.6,196.8,206.0,213.1,219.6,225.5,230.5,239.6,253.7,262.1,273.2,283.4,289.8,295.7,305.6,310.1,314.9,322.0
Estacional,100.0,101.7,102.3,104.8,108.2,109.1,110.1,110.6,111.8,116.2,119.0,121.1,121.5,124.7,123.9,125.9,127.0,130.2,134.5,139.6,142.3,148.0,157.2,161.9,164.3,166.1,169.3,177.3,180.2,181.3,185.8,192.5,200.0,217.0,223.2,239.6,244.7,253.6,260.0,272.7,285.9,299.3,313.6
Núcleo,100.0,101.5,103.2,105.2,107.4,109.2,110.7,112.6,114.2,116.1,117.6,119.1,121.1,122.9,125.5,128.7,131.5,135.0,140.5,145.0,149.8,161.3,168.6,174.2,178.9,184.3,191.4,200.2,207.7,214.3,220.2,224.9,235.3,250.5,260.0,270.4,280.3,287.2,294.0,303.2,308.4,313.3,320.6
Regulados,100.0,101.8,105.9,110.0,114.5,115.7,116.7,119.4,121.1,123.2,125.3,127.1,138.7,141.7,148.5,151.5,159.5,160.0,164.7,169.0,179.5,187.9,201.9,207.5,212.9,220.1,229.4,240.7,248.6,257.8,265.0,269.8,275.5,284.7,290.5,301.6,315.5,319.1,321.3,331.9,329.7,329.4,331.8
